Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
9gwzcdXpk2k,Don’t plan on a Plan B #business #sales #salesman #salestips #books #books #money #work #passion,"Mar 11, 2026",23,52,0:00:39,173.81,39.69,,2,,,,,,0,0,1,0,100,0,1,143,0.613,0,155,1.94
87Z-7RjKegA,How to Sell Anyone Anything SIMPLIFIED,"Oct 20, 2025",82,49,0:00:41,50.75,82.14,,1,,,,,,2,0,8,0,100,0,0,66,0.5707,2,345,7.83
ZFL-HvsVaak,The Secret to Becoming a Millionaire in Sales,"Dec 30, 2024",3158,49,0:08:00,15.23,,,8,,,,,,0,0,2,0,100,1,0,49,6.5447,0,802,2.62
Jk1Ed-77eYU,What Will People Say At YOUR Funeral? POWERFUL Motivation from 7 Habits (Habit 2 Book Summary),"Jan 25, 2023",201,48,0:01:51,55.62,,,7,,,,,,0,0,0,0,,3,0,48,1.4907,0,295,2.03
juAzHOXWhXs,The REAL Reason To Get Into SALES,"Jan 10, 2025",32,47,0:00:19,59.99,66.67,,0,,,,,,0,0,3,0,100,1,0,79,0.2614,0,614,1.79
7b6qZorF6LI,Is ANDROID or IPHONE Better?,"Jan 4, 2024",49,47,0:00:38,77.86,92.68,,5,,,,,,0,0,4,0,100,1,0,69,0.4989,0,302,9.27
B6UjJmK_rPU,How to 10X Commissions Without Working Harder,"Jan 18, 2025",2238,46,0:06:35,17.68,,,1,,,,,,0,0,2,0,100,1,0,46,5.0563,0,817,3.67
Ug3UxfaO7_Y,How to Not Burnout of Sales,"Feb 21, 2024",24,46,0:00:22,93.93,85.19,,17,,,,,,0,0,2,0,100,0,0,70,0.2906,0,278,5.76
_palRMSBRRM,How to Be A TOP SALESMEN,"Dec 27, 2023",47,45,0:00:38,82.38,77.19,,6,,,,,,0,0,9,0,100,0,0,75,0.4882,0,414,6.04
S3E8akCYX54,How to Build a World Class Sales Organization,"Feb 14, 2024",3069,43,0:07:14,14.16,,,6,,,,,,0,0,2,0,100,1,0,43,5.1913,0,1283,2.42
AGu-WF8cP_s,"Avoiding Repetition: Don't Be A ""Salesman"" (Sales Training)","Jan 6, 2023",66,43,0:00:52,79.84,,,3,,,,,,0,0,3,0,100,0,0,43,0.6294,0,811,3.82
P0enfzsDXhA,"December 30, 2024","Dec 30, 2024",77,42,0:00:32,42.43,66.67,,0,,,,,,0,0,3,0,100,2,0,69,0.4035,0,380,2.89
8zQ9pdn9Q44,These SECRETS made him MILLIONS,"Oct 31, 2023",3744,37,0:07:42,12.36,,,4,,,,,,0,0,2,0,100,1,0,37,4.7571,0,986,2.84
NhrTLLyxeH8,How I Made $200k in 30 Days Selling Solar | Ep 39,"Dec 24, 2025",1090,36,0:03:13,17.74,,,0,,,,,,1,0,5,0,100,0,0,36,1.9341,1,1192,2.1
FlvCiGNANRo,The Secret To Becoming A Millionaire 🤫,"Dec 21, 2024",39,36,0:00:23,59.15,74.47,,3,,,,,,0,0,1,0,100,0,0,55,0.2338,0,515,2.52
xFsnv6LQf3w,Why 99% FAIL,"Dec 6, 2023",4395,35,0:10:49,14.77,,,1,,,,,,0,0,1,0,100,0,0,35,6.3123,0,856,2.22
zD2zFodHAtk,How to Sell 22 Solar Accounts IN A DAY | Ep 17,"Nov 19, 2024",2997,34,0:08:23,16.79,,,0,,,,,,1,0,2,0,100,1,1,34,4.7522,1,492,4.67
UQi7h44coYs,Why People DO NOT BUY From YOU,"Nov 3, 2023",393,34,0:04:31,69.15,,,5,,,,,,0,0,2,0,100,1,0,34,2.5667,0,423,5.67
ZbGR8PMBrLk,EVERYONE is in SALES…,"Dec 26, 2024",51,34,0:00:18,35.74,51.61,,0,,,,,,0,0,0,0,,1,0,53,0.1835,0,390,2.31
t_9RRz2KvGU,How To Set Goals & Guarantee Success | Ep 49,"Jan 28, 2026",1134,33,0:03:03,16.19,,,0,,,,,,3,0,2,0,100,0,0,33,1.683,3,1016,1.67
G5E-1FvxpUw,Are You A Yes Man?,"Apr 1, 2024",21,33,0:00:18,86.99,79.49,,3,,,,,,0,0,1,-1,,0,0,54,0.171,0,373,2.95
XOU8-yXqxek,Cut from the NFL to Sales Legend—Mitch Mattews’ Story,"Jun 3, 2025",4209,33,0:08:28,12.09,,,4,,,,,,0,0,0,0,,0,0,33,4.6645,0,1202,1.66
aH2fT2US1LQ,Eat What You Kill: The #1 Secret to Growing into a Sales Leader w/ Sam Taggart | Ep 28,"Apr 11, 2025",3156,32,0:05:46,10.98,,,0,,,,,,0,0,2,0,100,0,0,32,3.0812,0,861,2.79
-7k6TkNC-_k,Secrets to Building a Sales Empire w/ Jonathan Mason | Ep 45,"Dec 24, 2025",2723,32,0:10:24,22.92,,,0,,,,,,1,0,0,0,,1,0,32,5.5474,1,682,1.76
rzumC_QPIoo,Being a LEADER will make you SUCCESSFUL,"Oct 24, 2023",2724,31,0:12:27,27.45,,,3,,,,,,0,0,1,0,100,0,0,31,6.4378,0,532,4.89
VU5s7M_0vKM,"You don’t have a “motivation” problem, you have this problem…","Dec 11, 2024",88,31,0:00:46,53.14,87.88,,0,,,,,,1,0,5,0,100,0,0,36,0.4043,1,317,3.15
92sZK7aCnZc,How To Always Win A Deal,"Mar 4, 2024",21,31,0:00:22,107.67,77.5,,1,,,,,,0,0,1,0,100,0,0,63,0.1985,0,337,3.86
tVwqWXde9KI,Mindset & Habits of the Top 1% of Salespeople & Entrepreneurs | Ep 43,"Dec 24, 2025",1612,30,0:06:26,23.97,,,0,,,,,,1,0,2,0,100,0,0,30,3.2206,1,774,2.2
gGr6JDdvNW4,NEVER Say This In Sales,"Nov 19, 2023",27,30,0:00:25,92.77,87.5,,1,,,,,,0,0,0,0,,0,0,53,0.2106,0,225,5.33
6ElhLQFVfz0,Selling Yourself Positive Self Talk (Sales Training),"Jan 6, 2023",140,30,0:01:12,51.73,,,5,,,,,,0,0,2,0,100,1,0,30,0.6035,0,342,3.8
9d25-QqrWo0,These TIPS Will Make You A Better Salesperson,"Oct 17, 2023",2523,28,0:09:51,23.43,,,5,,,,,,1,0,1,0,100,1,0,28,4.5977,1,386,4.4
yoqPUZkmx68,Why investing is important!,"Jan 10, 2024",54,28,0:00:31,58.19,74.07,,4,,,,,,1,0,0,0,,0,0,39,0.2477,1,673,1.78
IJOuY8fZ5SQ,"How Win TRUST FAST: The ""5 T's of Trust"" | Ep 30","Apr 11, 2025",795,26,0:07:11,54.24,,,0,,,,,,1,0,2,0,100,2,0,26,3.1141,1,642,2.34
o3rR1gvr_d0,How To Set Goals & Guarantee Success | Ep 49,"Jan 28, 2026",1134,26,0:02:59,15.81,,,2,,,,,,0,0,3,0,100,0,0,26,1.2945,0,1152,1.13
E7PrHZM8NRw,Give Yourself an Edge (Sales Training),"Jan 6, 2023",111,25,0:01:19,71.36,,,2,,,,,,0,0,0,0,,0,0,25,0.5501,0,462,3.9
c5SkKq-X00U,Choose Your Focus,"Sep 12, 2025",53,25,0:00:22,42.17,67.57,,2,,,,,,0,0,3,0,100,0,0,43,0.1611,0,228,2.63
EcgasGoHYdA,These SECRETS Made Him MILLIONS,"Oct 31, 2023",51,25,0:00:39,78.3,71.43,,2,,,,,,0,0,1,0,100,0,0,44,0.2808,0,675,2.67
zIngpUc48AU,MARRY THE PROCESS,"Jan 19, 2026",27,24,0:00:20,77.2,54.55,,1,,,,,,0,0,0,0,,0,0,55,0.1505,0,202,4.46
Xw1ypd76RoM,What The Top 1% of Solar Salespeople Do Differently | Ep 40,"Dec 24, 2025",1930,24,0:07:17,22.69,,,0,,,,,,2,0,2,0,100,2,0,24,2.9192,2,582,2.06
B4ndB7gPlfs,How To Make Sale In 5 Minutes,"Dec 15, 2023",57,24,0:00:36,63.23,100,,1,,,,,,0,0,0,0,,0,0,29,0.2403,0,341,4.11
xJMc5-quGeA,CHANGE YOUR MINDSET,"Dec 30, 2023",47,24,0:00:42,90.46,60.53,,7,,,,,,0,0,-1,0,100,0,0,55,0.2883,0,192,6.25
J6vFzZBqox4,How To Handle OBJECTIONS,"Dec 5, 2023",64,24,0:00:57,90.06,,,4,,,,,,0,0,1,0,100,0,0,24,0.3843,0,312,7.05
BD8Vsn1yzMY,How to 5x your sales #business #sales #salesman #salestips #money #work #books #passion,"Mar 24, 2026",61,22,0:00:54,88.61,73.33,,14,,,,,,0,0,1,0,100,0,0,38,0.3333,0,174,2.87
Gb-WiZ4OCoU,Most People Buy After 5 Attempts to Close (Sales Training),"Jan 6, 2023",97,22,0:01:14,76.57,,,3,,,,,,0,0,1,0,100,0,0,22,0.4539,0,449,3.34
d1hTnytCehE,This is the biggest reason salespeople hate their job,"Oct 17, 2023",42,22,0:00:33,79.63,91.3,,0,,,,,,0,0,1,0,100,0,0,30,0.2051,0,265,4.15
odPR2QvnEnc,DON'T Let Them CONTROL You,"Jan 2, 2024",12,22,0:00:11,95.19,70,,3,,,,,,0,0,2,0,100,0,0,45,0.0737,0,168,4.17
aSIoofRFtHE,Blitz Queen: How Melissa Romiza Runs Elite Solar Sprints | Ep 48,"Dec 24, 2025",2146,22,0:11:20,31.72,,,0,,,,,,0,1,1,0,100,0,0,22,4.1605,-1,769,1.69
eWPgKHZ3qQs,Making A Million Dollars in D2D Sales (Podcast),"Nov 19, 2024",1383,22,0:03:20,14.5,,,2,,,,,,1,0,0,0,,1,0,22,1.2257,1,573,3.32
E6I1hKZauSk,The 7 Deadly Sins That Are Killing Your Sales | Ep 38,"Dec 24, 2025",2139,21,0:10:39,29.9,,,0,,,,,,0,0,0,0,,2,0,21,3.7304,0,530,2.64
JfF7rvXpZNY,Don't Be Apologetic (Sales Training),"Jan 6, 2023",73,20,0:00:58,80.64,,,6,,,,,,0,0,0,0,,1,0,20,0.327,0,514,2.33
xOq1ll0QOA4,The 7 Habits of Highly Effective People: Habit 1 (The MOST Important) 5 Min Summary,"Dec 23, 2022",312,20,0:01:49,34.98,,,1,,,,,,0,0,2,0,100,0,0,20,0.6064,0,443,3.39
DPcHMaHls70,Don’t sell yourself short in sales,"Oct 18, 2024",47,20,0:00:33,70.76,68.97,,1,,,,,,1,0,5,0,100,0,0,35,0.189,1,265,1.51
ugAjTRoGr7U,Sell Like a CEO | Ep 31,"Apr 11, 2025",2041,20,0:08:55,26.26,,,0,,,,,,0,0,1,0,100,0,0,20,2.9772,0,684,1.75
RneFofsR3oU,"Perspective, Momentum, KPIs, Empathy","Nov 19, 2024",2463,20,0:13:46,33.56,,,3,,,,,,0,0,0,0,,0,0,20,4.5925,0,499,3.01
qbsQgL4bBpM,Don't Get Left BEHIND by Your Industry!,"Jun 24, 2024",1730,20,0:05:38,19.55,,,4,,,,,,0,0,2,0,100,0,1,20,1.8792,0,563,2.13
gC__hGApDqY,Why Becoming A MASTER CLOSER Is WRONG,"Nov 23, 2023",50,20,0:00:38,76.29,76.92,,2,,,,,,0,0,1,0,100,0,0,32,0.213,0,180,5.56
H8QaxC_MSjM,How good are you at selling?,"Feb 25, 2024",32,19,0:00:27,85.77,86.36,,1,,,,,,0,0,0,0,,0,0,34,0.1456,0,199,6.53
tf2AOkqcbWE,Don't SELL your product - TEACH it,"Feb 18, 2024",45,19,0:00:26,59.37,73.08,,4,,,,,,0,0,2,0,100,0,0,27,0.1418,0,210,3.33
l96AC08ruIM,The Real Secrets Behind The Top 1% of Salespeople | Ep 32,"Apr 11, 2025",2640,19,0:04:50,10.99,,,0,,,,,,0,0,1,0,100,0,0,19,1.5308,0,743,1.75
WD0a5zoe4sc,Why Salespeople STILL Knock Doors In 2023 (It's Actually GENIUS),"Jan 17, 2023",89,19,0:00:49,55.79,,,4,,,,,,1,0,1,0,100,0,0,19,0.262,1,356,3.65
31AKjYmifF4,Don't Do This If You Don't Like Saving Money,"Dec 17, 2023",43,19,0:00:54,126.91,90,,5,,,,,,0,0,2,0,100,0,0,38,0.2891,0,131,8.4
D4ZiyDHleZg,Dealing with SPICY PROSPECT,"Nov 7, 2023",58,19,0:00:50,86.47,72,,1,,,,,,0,0,2,0,100,0,0,40,0.2693,0,179,3.35
ymDz_4Rz6LE,How NOT to be the stereotypical salesperson,"Jun 17, 2024",525,19,0:05:45,65.9,,,5,,,,,,0,0,3,0,100,1,0,19,1.8259,0,367,3.54
JWmKy15W6Wk,Rate My SALES Technique,"Nov 8, 2023",42,18,0:00:49,117.55,80,,3,,,,,,0,0,2,0,100,0,0,33,0.2476,0,117,8.55
68HC_hGs9-U,Sell yourself not your soul #books #business #sales #salesman #salestips #work #passion #money,"Feb 26, 2026",42,18,0:00:23,57.04,58.06,,2,,,,,,0,0,4,0,100,0,0,29,0.1236,0,124,5.65
Nxk-iRSTRzw,The Sales Therapist: Healing the Inner Game to Win in Business | Ep 47,"Dec 24, 2025",2747,18,0:04:20,9.49,,,0,,,,,,0,0,1,0,100,1,0,18,1.3036,0,1415,0.78
fGYo9p0-j1s,Fill Your Own Cup FIRST,"Mar 20, 2024",43,18,0:00:48,113.71,80.95,,4,,,,,,0,0,1,0,100,0,0,28,0.2455,0,373,2.14
3jG2Q8TKV84,Make Sure You're SOLD Before You SELL,"Dec 20, 2023",16,17,0:00:18,117.55,73.91,,5,,,,,,0,0,1,0,100,1,0,38,0.0915,0,256,1.95
t7_GtJFYcVI,Setting Goals vs. Setting Expectations Sales Training,"Jan 6, 2023",121,17,0:01:17,64.29,,,2,,,,,,0,0,0,0,,0,0,17,0.3673,0,452,1.99
BglPa92qxE0,Making A Million In One Year In Door-to-Door Sales | Ep 23,"Nov 21, 2024",1383,17,0:02:43,11.84,,,0,,,,,,0,0,0,0,,0,0,17,0.7732,0,513,2.53
DhjNbxtqmhY,Pass Your Goal,"Feb 17, 2024",25,17,0:00:31,124.36,85,,0,,,,,,0,0,1,0,100,0,0,30,0.1474,0,158,7.59
bPaMQYDptJE,This Is 95% Of Sales Training,"Dec 31, 2023",32,17,0:00:23,74.34,71.43,,2,,,,,,0,0,1,0,100,0,0,28,0.1143,0,259,2.32
1GTbJ4UqvCY,From Broke to 150 Reps: How Spencer Built a Life Insurance Army by 25 | Ep 46,"Dec 24, 2025",2097,17,0:07:55,22.68,,,0,,,,,,0,0,1,0,100,0,0,17,2.2457,0,716,1.54
SILpm0zBhl4,Escape the Sales Slump 🔥,"Nov 19, 2024",1928,16,0:12:53,40.1,,,1,,,,,,0,0,0,0,,0,0,16,3.4362,0,502,2.79
EgOVFw3qhIY,You Don't Have To Close Everyone,"Mar 13, 2024",31,15,0:00:31,102.24,83.33,,2,,,,,,0,0,1,0,100,1,0,26,0.1327,0,183,4.37
s4JuGavxjWQ,In order to give more you must become more #business #sales #salesman #salestips #money #books #work,"Mar 9, 2026",36,15,0:00:33,94.27,53.57,,2,,,,,,0,0,0,0,,1,0,32,0.1459,0,110,2.73
A6BFnsha9R0,"SECRETS to Atomic Habits That Will Make You Over $150,000","Oct 23, 2023",953,15,0:06:48,42.9,,,4,,,,,,0,0,-1,0,100,0,0,15,1.7034,0,318,2.83
ZJxSMmB_BbA,"Master the Game: Sales, Entrepreneurship & Life | Ep 29","Apr 11, 2025",3511,15,0:06:55,11.82,,,0,,,,,,0,0,1,0,100,5,0,15,1.7297,0,623,1.93
NKfjmTb_h2M,The #1 HIGHEST-PAYING Attribute for Salespeople,"Mar 18, 2022",46,15,0:00:36,78.57,82.35,,1,,,,,,0,0,0,0,,0,0,22,0.1517,0,170,6.47
PByaXGQuuro,Be okay walking away. Pick your prospect. #salestips #salestraining,"Nov 17, 2024",40,15,0:00:25,62.6,60.87,,0,,,,,,0,0,1,0,100,0,0,27,0.1079,0,212,1.42
e28lACMFCw4,Shalev Podcast,"Jan 15, 2025",2709,15,0:13:59,30.98,,,1,,,,,,0,0,2,0,100,0,0,15,3.4972,0,677,1.33
jII-TUompfg,Sell This ONE PERSON To Sell EVERYONE,"Jan 2, 2025",468,15,0:03:31,45.26,,,0,,,,,,0,0,1,0,100,0,0,15,0.8825,0,572,1.22
bEZ9i4ISJxM,Confidence vs. Competence: Sales Training,"Jan 6, 2023",95,14,0:01:08,72.03,,,1,,,,,,0,0,0,0,,0,0,14,0.2661,0,256,2.34
r3rNPyFqXVM,Nick & Evan Reveal The Dark Side of Success (What No One Talks About) | Ep 37,"Dec 24, 2025",5567,14,0:27:37,29.77,,,0,,,,,,0,0,0,0,,0,0,14,6.4447,0,1211,0.91
19PjIzA7OXo,Do You HAVE To Be PUSHY In SALES,"Nov 23, 2023",52,14,0:00:34,65.89,86.67,,3,,,,,,0,0,0,0,,0,0,21,0.1333,0,143,4.9
PkT0rZcHno4,How to Build a World Class Sales Organization | Ep 9,"Nov 19, 2024",3069,14,0:01:11,2.33,,,0,,,,,,0,0,1,0,100,0,0,14,0.2786,0,334,2.99
m1yKjNfxDqI,Mastermind Call #01 Culture,"Nov 19, 2024",2574,13,0:13:03,30.43,,,3,,,,,,0,0,0,0,,0,0,13,2.8288,0,483,1.86
jc_-Ohkn9ws,How Your Morning Routine Makes You More Sales,"Dec 14, 2024",77,13,0:00:33,44.03,48.15,,1,,,,,,0,0,1,0,100,0,0,25,0.1266,0,230,0.87
5vUmN5nGvVc,W.W.O.W Sales Effect #business #money #sales #salestips #work #salesman #books #passion,"May 14, 2026",39,13,0:00:26,69.12,81.25,,15,,,,,,0,0,2,0,100,0,0,20,0.0992,0,122,0.82
_UU6aiEMuyY,Invest In Yourself First,"Mar 17, 2024",16,13,0:00:17,107.91,76.47,,0,,,,,,0,0,0,0,,0,0,23,0.0638,0,137,6.57
qMCkVOKPows,The TRUTH About Salespeople: EXPOSING the BEST Sales Professionals,"Mar 7, 2022",55,13,0:00:27,49.51,66.67,,2,,,,,,0,0,0,0,,0,0,18,0.1001,0,234,3.42
auBSadhWK58,Love Your Product,"Mar 19, 2024",44,13,0:00:24,56.51,86.67,,0,,,,,,0,0,1,0,100,0,0,18,0.0912,0,156,5.13
uzVS6EBQjK4,From Divorce To Golden Door,"Mar 8, 2024",2995,12,0:10:48,21.67,,,2,,,,,,0,0,0,0,,0,0,12,2.163,0,303,1.65
_beiBx3if_M,Science of Superhuman Selling (Solo Podcast) | Ep 20,"Nov 19, 2024",2463,12,0:06:25,15.66,,,0,,,,,,0,0,0,0,,0,0,12,1.2861,0,400,1.25
isjgnmUC9bw,How To ACTUALLY Become A Millionaire In 2023 | The Truth No One Tells You,"Jan 10, 2023",485,12,0:01:41,21,,,3,,,,,,0,0,0,0,,0,0,12,0.3395,0,405,1.98
TBiL82wNR0E,These SIMPLE Tricks Can Make You A MASTER MARKETER,"Nov 14, 2023",3187,11,0:10:10,19.14,,,0,,,,,,0,0,0,0,,0,0,11,1.8639,0,532,0.94
imPhFqoeGDY,How to Sell CLOSE-MINDED People,"Mar 11, 2022",51,11,0:00:44,87.46,68.75,,2,,,,,,0,0,0,0,,0,0,20,0.1387,0,231,2.16
ut5son29Hl4,Maximizing Your VIRTUAL SALES Potential,"Nov 25, 2023",4538,11,0:07:39,10.13,,,0,,,,,,0,0,0,0,,3,0,11,1.4052,0,554,1.08
Gt4Ylm-icBA,Don't let people waste your time,"Aug 22, 2023",53,11,0:00:26,50.23,60,,2,,,,,,0,0,1,0,100,0,0,12,0.082,0,330,1.52
xuXasZAKqHQ,Sell the PAIN not the GAIN #salestips #salestraining,"Oct 14, 2024",54,10,0:00:41,77.2,45,,0,,,,,,0,0,1,0,100,0,0,19,0.1174,0,184,0.54
oMgxTCNqKE8,LISTEN before you SELL,"Mar 21, 2022",61,10,0:00:35,58.77,,,1,,,,,,0,0,2,0,100,0,0,10,0.0996,0,166,5.42
32_sGRrNMDE,The Key to Selling Anything: Identify the Cost of Doing Nothing #salestraining #nicknascimento,"Aug 8, 2023",37,10,0:01:17,208.72,100,,1,,,,,,0,0,0,0,,0,0,18,0.2145,0,356,1.97
cs4YalvFMi0,Shining Light on Solar & Self Improvement: How to Make 6 Figures A Month In Solar | Ep 24,"Dec 26, 2024",3759,10,0:08:59,14.34,,,0,,,,,,0,0,0,0,,0,0,10,1.4975,0,508,1.38
YIiCC0Ya-1I,The Secret Behind How World Class Sales Teams/Orgs Are Built (Solo Podcast) | Ep 22,"Nov 19, 2024",2574,10,0:04:24,10.28,,,0,,,,,,0,0,0,0,,0,0,10,0.7353,0,434,1.38
izUTYzhdsfo,From Divorce To Golden Door,"Mar 9, 2024",2995,10,0:06:26,12.9,,,1,,,,,,0,0,0,0,,0,0,10,1.0736,0,333,3
u3_2rlTNX3Q,Lessons learned in divorce,"Jun 2, 2024",23,10,0:00:20,90.39,71.43,,0,,,,,,0,0,0,0,,0,0,18,0.0588,0,151,3.97
wQ3Ky8OUiZY,THIS Is Why You STRUGGLE To Make A SALE,"Nov 20, 2023",25,9,0:00:23,95.75,75,,4,,,,,,0,0,2,0,100,0,0,17,0.0601,0,110,2.73
Fp4YHkC1kCE,How to Build a World-Class Sales Team Without Babysitting Reps | Ep 44,"Dec 24, 2025",1653,9,0:01:25,5.16,,,0,,,,,,0,0,0,0,,0,0,9,0.2133,0,681,0.73
6TSZspSX9AY,The TOP SALESPEOPLE ALL Have This,"Dec 22, 2023",26,9,0:00:19,74.25,53.33,,4,,,,,,0,0,0,0,,0,0,18,0.0514,0,148,3.38
Y2EJwyCfhhs,Ask better questions,"Jun 19, 2024",60,9,0:00:32,53.94,36.84,,1,,,,,,0,0,0,0,,0,0,16,0.0849,0,170,1.76
v7k9HbxG_Zo,The AMOUNT of CONFIDENCE You Will Gain,"Oct 26, 2023",28,9,0:00:24,87.96,81.82,,1,,,,,,0,0,-1,0,100,0,0,17,0.062,0,131,3.05
UH3hyw1rLNo,MONDAY FIRE,"Jun 18, 2024",58,9,0:00:33,57.21,42.86,,2,,,,,,0,0,0,0,,0,0,18,0.0849,0,175,3.43
d-2Ip14tepY,100M Offers by Alex Hormozi: Key Takeaways,"Dec 7, 2022",137,9,0:01:53,82.98,,,1,,,,,,0,0,0,0,,0,0,9,0.2842,0,335,2.69
DU7JiSjgal4,7 Habits Summary - Proactive vs Reactive Language #booksummary #7habits #covey #selfhelp,"Dec 23, 2022",60,9,0:00:36,60.79,66.67,,0,,,,,,0,0,0,0,,0,0,11,0.0912,0,324,2.16
vql3twSKhfM,Never say BUT! BUT There is One Exception...,"Mar 18, 2022",39,9,0:00:31,79.64,,,1,,,,,,0,0,0,0,,0,0,9,0.0776,0,85,8.24
 -Fg9NATCVus,get rich off your assets!,"Jan 12, 2024",45,8,0:00:28,63.31,63.64,,4,,,,,,0,0,1,0,100,0,0,13,0.0645,0,121,2.48
dq-5bhX5Of0,Transparency is key,"Jun 12, 2024",11,8,0:00:14,128.06,47.06,,0,,,,,,0,0,0,0,,0,0,23,0.0343,0,143,2.1
8DmVN_YKoU0,Where Your Time Matters Most,"Mar 15, 2024",15,8,0:00:12,84.19,72.73,,0,,,,,,0,0,0,0,,0,0,12,0.0299,0,89,2.25
r__KkRQTB2s,Are You Happy?,"Mar 16, 2024",55,8,0:00:27,49.72,53.85,,0,,,,,,0,0,1,0,100,0,0,10,0.0613,0,248,0.4
fsVeLgbT4C8,"How Your ""WHY"" Can Get You More Sales","Jan 6, 2023",102,8,0:01:04,63.67,,,1,,,,,,0,0,0,0,,0,0,8,0.1443,0,259,1.54
BUlXmkP4XWM,Who Is The Enemy?,"Apr 4, 2024",45,8,0:00:21,47.79,66.67,,2,,,,,,0,0,0,0,,0,0,12,0.0487,0,138,2.9
ioCkm7IPMeE,How To Maximize Your Potential,"Mar 29, 2024",64,8,0:00:46,72.12,,,2,,,,,,0,0,0,0,,0,0,8,0.1026,0,299,1.34
r4j7i-u7N18,Burnout is A Bad Word,"Mar 26, 2024",37,7,0:00:30,81.2,87.5,,0,,,,,,0,0,0,0,,0,0,12,0.0595,0,127,1.57
I953iBZEBXU,have a success mindset,"Jun 22, 2024",30,7,0:00:29,97.53,53.85,,0,,,,,,0,0,0,0,,0,0,14,0.0578,0,145,0.69
IsYuf1SLC-c,How Thiago Made His First Million In Sales | Ep 33,"Dec 24, 2025",3470,7,0:00:24,0.69,,,0,,,,,,0,0,0,0,,0,0,7,0.0468,0,268,1.87
X7v4P_-0gw4,Cost of Doing Nothing: The Easiest Way to Sell Anything to Anyone,"Aug 8, 2023",38,7,0:00:29,77.45,,,1,,,,,,0,0,1,0,100,0,0,7,0.0572,0,198,3.54
2cXAUXgXUMc,DON'T Kiss Ass To Gain MORE Sales,"Dec 9, 2023",38,7,0:00:20,55.16,63.64,,2,,,,,,0,0,0,0,,0,0,12,0.0432,0,85,3.53
cWK2DXoxsJI,"health, wealth & relationships 👑","Jun 20, 2024",27,7,0:00:16,61.17,41.18,,0,,,,,,0,0,0,0,,0,0,13,0.0347,0,156,1.28
ZMb6PXr1ldA,How To Make More In A Week Than Most Do In A Year  | Ep 15,"Nov 19, 2024",2111,7,0:05:27,15.51,,,0,,,,,,1,0,1,0,100,0,0,7,0.6367,1,320,1.56
G_ta8Il9GZI,Breaking Through to The Authentic You | Ep 10,"Nov 19, 2024",3437,7,0:14:00,24.45,,,0,,,,,,0,0,0,0,,0,0,7,1.6337,0,294,1.36
4hhLOwuur5g,TRUST Is Where The SALE Is Made,"Dec 29, 2023",55,7,0:00:32,59.3,43.75,,1,,,,,,0,0,1,0,100,0,0,15,0.0665,0,93,1.08
WEgXvo1I6HM,How to Build URGENCY,"Dec 28, 2023",59,7,0:00:26,44.89,58.33,,2,,,,,,0,0,0,0,,0,0,11,0.054,0,120,0
 -zO4LJretS0,How Tight Is Your Schedule?,"Apr 10, 2024",54,7,0:00:43,80.09,33.33,,2,,,,,,0,0,0,0,,0,0,21,0.0891,0,162,1.23
jsXv49Ua0S4,Your Sales Shouldn't Be A Rollercoaster,"Apr 8, 2024",24,7,0:00:13,57.18,53.85,,0,,,,,,0,0,0,0,,0,0,13,0.0283,0,143,2.1
8GvoXEEC1rE,How To GAIN Followers FASTER,"Dec 10, 2023",49,6,0:00:23,47.14,66.67,,1,,,,,,0,0,0,0,,0,0,10,0.0393,0,71,1.41
KDCQ6t09KwI,Quality over Quantity,"Feb 10, 2024",50,6,0:00:18,36.26,38.46,,1,,,,,,0,0,0,0,,0,0,10,0.0326,0,186,2.15
7S9coUZhn6o,"Tiny Changes, Life Changing Results - Atomic Habits by James Clear (Book Summary)","Jan 3, 2023",267,6,0:02:17,51.36,,,2,,,,,,0,0,0,0,,0,0,6,0.2286,0,328,1.83
TPTdkNl3ZCc,Think Botox!,"Feb 9, 2024",27,6,0:00:21,77.79,75,,1,,,,,,0,0,1,0,100,0,0,9,0.0359,0,113,1.77
yJiSl0YJqbA,Compete to Make it to the Top (Sales Training),"Jan 6, 2023",107,6,0:01:36,90.11,,,1,,,,,,0,0,0,0,,0,0,6,0.1607,0,259,1.16
R2BCweGJbm4,How to double your sales in 30 days #salestips #salestraining #nicknascimento,"Dec 17, 2022",52,6,0:00:42,82.57,85.71,,1,,,,,,0,0,0,0,,0,0,10,0.0718,0,67,7.46
I390umoS41o,D2D Sales Guru meets Virtual Sales Guru | Ep 11,"Nov 19, 2024",4597,6,0:13:15,17.3,,,0,,,,,,0,0,0,0,,0,0,6,1.3257,0,307,1.63
bFV5Xk8Feow,They SHOULD Stick With You During Your WORST,"Nov 6, 2023",53,6,0:00:13,25.04,42.86,,1,,,,,,0,0,0,0,,0,0,14,0.0241,0,67,0
xdPkb5TUUSI,Process Not Prize (Solo Podcast) | Ep 19,"Nov 19, 2024",1928,6,0:05:25,16.86,,,0,,,,,,0,0,0,0,,0,0,6,0.5418,0,351,0.28
