Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
F1MgZMMgJjg,Jeremy Miner Reveals His Secrets to Mastering Sales (FULL INTERVIEW),"Dec 1, 2023",6470,582,0:15:15,14.14,,,46,,,,,,13,0,31,0,100,12,3,582,147.9479,13,8296,4.54
jhkEYvxipT0,How I Went From Broke to $35M,"Jan 15, 2026",29,580,0:00:14,50.45,44.28,,4,,,,,,2,0,10,0,100,1,1,1351,2.6942,2,601,2.83
OowlcRwFrv4,"March 19, 2026","Mar 24, 2026",45,569,0:00:20,45.29,58.74,,11,,,,,,2,0,18,1,94.74,3,1,1005,3.3968,2,189,4.23
kN--PBe6dSY,Be diligent ￼ #business #sales #salesman #salestips #money #work #books #passion,"Mar 20, 2026",29,566,0:00:19,67.52,49.3,,6,,,,,,0,0,34,2,94.44,4,2,1217,3.3359,0,203,1.48
IMvlz6Oh1dM,Seek first to understand then to be understood #sales #salestips #books #salesman #business,"Feb 19, 2026",60,564,0:00:29,49.57,60.37,,3,,,,,,2,0,21,2,91.3,4,1,930,4.8223,2,440,5
8SoD-FhxCVM,The momentum secret #business #money #sales #salestips #work #books #passion #salesman,"May 29, 2026",30,563,0:00:15,50.31,43.1,,1145,,,,,,2,0,13,3,81.25,2,0,1289,2.7302,2,156,3.85
r5ZLMPoIxYg,Are you selling the situation? #sales #salestips #business #money #work #books #passion #salesman,"Jun 2, 2026",34,563,0:00:19,57.11,42.13,,1181,,,,,,3,0,12,1,92.31,2,0,1353,3.3787,3,415,1.45
94irvQWG9Dc,Don't Sell Everyone,"Sep 25, 2025",44,562,0:00:17,40.49,47.9,,9,,,,,,1,1,15,0,100,2,0,1121,3.0146,0,808,8.04
SLHk3bPaqS8,Read books to get better #business #sales #salesman #salestips #money #work #books #passion,"Mar 24, 2026",30,558,0:00:14,48.4,32.68,,13,,,,,,2,0,15,3,83.33,1,0,1690,2.7208,2,358,2.51
ysRfVaehyEw,Don’t leave money on the table #business #sales #salesman #salestips #money #work #books #passion,"Mar 20, 2026",34,548,0:00:16,48.54,36.79,,8,,,,,,1,0,21,1,95.45,0,1,1482,2.9226,1,325,3.08
yJ65Ey9KYck,Do you want to sell more? #business #sales #salesman #salestips #money #work #books #passion,"Mar 20, 2026",41,547,0:00:21,52.69,64.77,,6,,,,,,1,0,18,2,90,5,1,909,3.4035,1,237,0.84
Jbrm-JYscHs,I Will Change The Way You Look At Sales,"Oct 17, 2025",30,544,0:00:13,44.72,22.92,,3,,,,,,2,0,12,0,100,0,0,2074,2.7115,2,450,2.89
wsux_y8MuqQ,Team Savings,"Aug 25, 2025",38,540,0:00:14,39.47,36.51,,1,,,,,,0,0,5,4,55.56,0,0,1441,2.7396,0,374,2.41
qEIknJ-O0RE,Chase The Man Change Yourself,"Aug 27, 2025",55,534,0:00:21,38.59,61.95,,2,,,,,,0,0,10,0,100,0,0,862,3.3001,0,374,1.07
v9t5t_UzPjk,Dads Make More Than Dudes,"Jan 6, 2026",79,531,0:00:28,36.5,75.43,,3,,,,,,3,0,10,1,90.91,2,0,738,4.3322,3,302,5.96
TK2-lLokpO4,Babysitting vs Leadership,"Jan 7, 2026",40,530,0:00:23,59.28,51.51,,2,,,,,,1,0,7,2,77.78,3,0,1072,3.7587,1,245,2.86
 -AVUd6TyHk8,How to time block #business #money #sales #salestips #work #books #passion #salesman,"May 28, 2026",53,528,0:00:21,40.91,42.06,,1083,,,,,,0,0,13,1,92.86,2,0,1189,3.502,0,241,4.98
